900551118;Creciendo Y Jugando;Zarazota;Rafael Uribe;Carrera  9 A # 48 C - 30 ;4.701607, -74.032639
900119083;Jardin Infantil Maria Cano Emma Antonio;María Cano;Ciudad Bolívar;Carrera  74 I # 62 - 03;4.674929, -74.080269
830102197;Diamantes Soñadores-Conboyreal;;Engativá;Calle 68A #73A-32;4.684156, -74.099731
830146564;Hogar Gerontológico Ayudamos Con Cariño Eu;Teusaquilla;Teusaquillo;Calle 29 #17-18;4.619061, -74.073744
830142033;Asociación Los Dinámicos De Las Villas Adultos Mayores Villas Del Sol ;Villas Del Sol;Rafael Uribe;Calle 48C Sur #10C-16;4.563706, -74.113340
830146011;Parroquia  Santa Maria De La Rivera ;La Rivera;Kennedy;Carrera  97D #42A-26 Sur;4.645961, -74.176826
860047327;Comunitario - Fisdeco  ;Lucero Alto;Ciudad Bolivar;Calle 69C #17F-41 Sur;4.548989, -74.139622
800041573;Congregación Hermanas De La Caridad De Montreal Hermanas Grises;Paraiso;Martires;Carrera  27L # 71G-09;4.663833, -74.068562
800185423;Cooperativa Multiactiva Alternativa Social Ltda;Casa Linda;Ciudad Bolivar;Carrera  22 Sur #58-26 Casa 2;4.611554, -74.127205
830091306;Corporación Para El Desarrollo  Comunitario El Buen Samaritano;La Rivera;Kennedy;Carrera  97 A Bis # 42 A - 13 Sur;4.645278, -74.177038
860041454;Parroquia nuestra Señora De Los Dolores;San Bernardo ;Kennedy;Carrera  13 # 3-37;4.692573, -74.183141
830132837;Asociación El Regreso De Emaus;Virrey;Chapinero;Calle 93B #0-51 Sur;4.647611, -74.165865
860006696;"Hijas De La Caridad De San Vicente De Paúl Centro Ambulatorio Medalla Milagrosa";Samper Mendoza;Usme;Calle 22C #26C-35;4.620437, -74.082077
900170000;Corporación Misión Vida Colombia;Bolivia;Martires;Carrera  109 #81-39;4.717556, -74.115284
900336416;Parroquia nuestra Señora Del Santísimo SaCarrera mento;Los Alpes;Ciudad Bolívar;Calle 75 Bis A Sur #25-48;4.541755, -74.155536
900017812;Fundación Centro De Desarrollo Integral Herederos;Santa Ana ;Soacha;Carrera  12 #10-26  ;4.600756, -74.080127
830082318;Fundación Geriatrica La Ternura De Mis Abuelitos   ;Sta Sofia;Barrios Unidos;Carrera  31 #78-26;4.602814, -74.102937
900415825;Fundacion Turismo Con Proposito;San Francisco;Ciudad Bolívar;Avenida Villavicencio 20 D - 53 Sur ;4.550916, -74.089959
